,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Total_1600,num_of_sat_test_takers,dbn,District,School_Num,school_name,Zip,Nhood,Med Income,Latitude,Longitude
171,363.0,360.0,351.0,723.0,32,09X404,09,X404,SCHOOL FOR EXCELLENCE,10456,Morrisania-Melrose,21955,40.827642,-73.904473
172,356.0,376.0,351.0,732.0,34,09X412,09,X412,BRONX HIGH SCHOOL OF BUSINESS,10457,East Concourse-Concourse Village,25474,40.840422,-73.91091
173,400.0,419.0,402.0,819.0,64,09X413,09,X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,10457,East Concourse-Concourse Village,25474,40.840422,-73.91091
174,379.0,364.0,379.0,743.0,35,09X414,09,X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,-,-,-,-,-
175,404.0,418.0,402.0,822.0,80,09X505,09,X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",10451,East Concourse-Concourse Village,22970,40.827607,-73.918681
176,368.0,384.0,369.0,752.0,50,09X517,09,X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,10456,Claremont-Bathgate,21955,40.833511,-73.90449
177,384.0,394.0,388.0,778.0,114,09X525,09,X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,10457,Claremont-Bathgate,25474,40.843588,-73.903236
178,353.0,315.0,371.0,668.0,27,09X543,09,X543,HIGH SCHOOL FOR VIOLIN AND DANCE,10456,Morrisania-Melrose,21955,40.827642,-73.904473
179,438.0,455.0,440.0,893.0,113,10X141,10,X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10463,North Riverdale-Fieldston-Riverdale,52301,40.888338,-73.913486
180,373.0,412.0,365.0,785.0,86,10X213,10,X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,10463,Marble Hill-Inwood,52301,40.877105,-73.912256
181,405.0,391.0,394.0,796.0,59,10X225,10,X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10457,Mount Hope,25474,40.854493,-73.896717
182,382.0,393.0,382.0,775.0,79,10X237,10,X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",10463,Van Cortlandt Village,52301,40.875911,-73.901099
183,382.0,406.0,370.0,788.0,26,10X243,10,X243,WEST BRONX ACADEMY FOR THE FUTURE,10458,Belmont,25642,40.860043,-73.888267
184,304.0,356.0,302.0,660.0,52,10X268,10,X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,10468,Van Cortlandt Village,28765,40.870293,-73.898309
185,402.0,395.0,385.0,797.0,54,10X284,10,X284,BRONX SCHOOL OF LAW AND FINANCE,10463,Marble Hill-Inwood,52301,40.877105,-73.912256
186,,,,,s,10X319,10,X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,10457,East Tremont,25474,40.8486,-73.893654
187,300.0,333.0,301.0,633.0,49,10X342,10,X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,10468,Van Cortlandt Village,28765,40.870293,-73.898309
188,390.0,408.0,383.0,798.0,111,10X368,10,X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),10463,Spuyten Duyvil-Kingsbridge,52301,40.879368,-73.909896
189,392.0,401.0,387.0,793.0,61,10X374,10,X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),10458,Belmont,25642,40.860043,-73.888267
190,343.0,356.0,330.0,699.0,38,10X397,10,X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),10463,Marble Hill-Inwood,52301,40.877105,-73.912256
191,370.0,371.0,365.0,741.0,57,10X433,10,X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,10468,Van Cortlandt Village,28765,40.870293,-73.898309
192,404.0,418.0,400.0,822.0,51,10X434,10,X434,BELMONT PREPARATORY HIGH SCHOOL,10458,Belmont,25642,40.860043,-73.888267
193,355.0,350.0,372.0,705.0,48,10X437,10,X437,FORDHAM HIGH SCHOOL FOR THE ARTS,10458,Belmont,25642,40.860043,-73.888267
194,367.0,385.0,367.0,752.0,63,10X438,10,X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,10458,Belmont,25642,40.860043,-73.888267
195,366.0,364.0,352.0,730.0,65,10X439,10,X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,10458,Belmont,25642,40.860043,-73.888267
196,419.0,426.0,410.0,845.0,443,10X440,10,X440,DEWITT CLINTON HIGH SCHOOL,10468,Van Cortlandt Village,28765,40.882178,-73.88691
197,423.0,420.0,427.0,843.0,52,10X442,10,X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",10468,Van Cortlandt Village,28765,40.870293,-73.898309
198,632.0,688.0,649.0,1320.0,731,10X445,10,X445,BRONX HIGH SCHOOL OF SCIENCE,10468,Van Cortlandt Village,28765,40.87759,-73.89104
199,351.0,362.0,339.0,713.0,109,10X475,10,X475,JOHN F. KENNEDY HIGH SCHOOL,-,-,-,-,-
200,414.0,435.0,414.0,849.0,99,10X477,10,X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,10463,Marble Hill-Inwood,52301,40.877105,-73.912256
